player_name,team,age,matches_played,matches_started,minutes_played,own_goals,goals,assists,shots,shots_on_target,shot_distance,free_kicks,penalty_kicks,pass_attempted,pass_completed,pass_distance,pass_final_third,pass_18_yard,crosses_18_yard,pass_before_shot,corner_kicks,chance_created,shot_creation_actions,goal_creation_actions,blocks,interceptions,aerial_battles_won,aerial_battles_lost,touches_defensive_pen,touches_defensive_third,touches_attacking_pen,touches_attacking_third,yellow_card,yellow_card_2nd,red_card,fouls_commited,fouls_drawn,offsides,penalty_won,penalty_conceded
Benoît Badiashile,Chelsea,21,4,4,360,0,0,0,1,0.25,7.8,0,0,89,81.5,1526,3.5,0.75,0,0.5,0,0.5,2,0,0.5,1,4,1,14.3,54.3,1.25,2,0.25,0,0,0.5,0.5,0,0,0
Leon Bailey,Aston Villa,25,20,17,1317,0,4,0.14,2.4,0.82,17.1,0.14,0,25.8,16,258.9,0.89,0.89,0.68,1.23,1.03,1.44,2.74,0.27,1.24,0.21,1.1,2.47,0.55,3.97,3.84,21.9,0.27,0,0,1.37,0.89,0.55,0,0
Stefan Bajcetic,Liverpool,18,5,2,194,0,1,0,0.91,0.45,13.1,0,0,47.3,37.7,557.3,3.64,0.91,0.45,0.91,0,0.91,3.64,0.45,2.72,1.82,1.82,1.36,1.36,10,0.91,13.6,0.45,0,0,1.82,2.27,0,0,0
Patrick Bamford,Leeds United,29,14,6,593,0,1,0.3,3.03,1.36,14.2,0,0,19.1,13.5,137.4,0.91,0.61,0,0.91,0,0.91,1.06,0.3,0.8999999999999999,0,1.36,2.73,1.21,2.42,6.21,16.4,0,0,0,1.21,0.91,1.36,0,0
Shandon Baptiste,Brentford,24,12,4,431,0,0,0,0.42,0.21,16.9,0,0,38.8,32.1,520.4,2.71,1.67,0.42,1.25,0,1.67,2.29,0.42,1.67,1.04,0.63,1.25,1.46,10.8,0.83,13.1,0.21,0,0,1.25,2.29,0.21,0,0
Harvey Barnes,Leicester City,25,20,20,1696,0,8,0.05,2.5,1.22,16.1,0,0,25.9,18.4,236.2,1.22,1.12,0.16,0.59,0,0.75,1.97,0.53,1.92,0.27,1.01,1.91,0.43,3.99,4.41,20.7,0.05,0,0,1.38,1.22,0.27,0,0
Gavin Bazunu,Southampton,20,22,22,1980,0,0,0,0,0,0,0,0,36.6,22.2,706.9,1.73,0.05,0,0.05,0,0.05,0.32,0,0,0.05,0.45,0,27,38.3,0,0,0,0,0,0.05,0,0,0,0.05
Mads Bech Sørensen,Brentford,24,4,0,21,0,0,0,0,0,0,0,0,55,35,710,10,0,0,0,0,0,5,0,0,5,5,0,5,20,0,10,0,0,0,0,0,0,0,0
Jan Bednarek,Southampton,26,4,4,339,0.26,0,0,1.32,0,12.2,0,0,42.6,34.7,674.2,2.37,0,0,0.53,0,0.53,1.05,0,4.22,3.42,2.89,1.58,6.84,27.4,1.84,3.16,0,0,0,0.53,0,0,0,0
Jan Bednarek,Aston Villa,26,3,1,100,0,0,0,0,0,0,0,0,60,54.5,1135.5,3.64,0,0,0,0,0,0,0,5.46,1.82,0,0,8.18,35.5,0,0.91,0,0,0,0.91,0.91,0,0,0
Donny van de Beek,Manchester Utd,25,7,2,167,0,0,0,1.05,0,10.1,0,0,32.1,24.2,264.2,0,2.11,0,1.58,0.53,1.58,3.16,0,2.1100000000000003,0.53,1.58,1.58,0.53,1.58,5.79,24.2,0,0,0,2.11,1.05,0.53,0,0
Asmir Begovi?,Everton,35,1,1,90,0,0,0,0,0,0,0,0,30,21,584,0,0,0,0,0,0,0,0,0,0,1,0,31,33,0,0,0,0,0,0,0,0,0,0
Armel Bella Kotchap,Southampton,21,13,13,1026,0,0,0.09,0.88,0.09,16.9,0,0,40,30.2,593.2,1.58,0.18,0,0.26,0,0.26,0.79,0.09,3.16,2.37,2.11,1.23,8.25,28.3,1.58,2.63,0.09,0,0,0.53,1.67,0,0,0
Saïd Benrahma,West Ham,27,20,12,1193,0,3,0.08,2.86,0.83,22.4,0.23,0.15,34.6,27.8,387.9,1.13,0.83,0.45,2.11,0.08,2.11,4.51,0.08,1.81,0.45,0.23,0.45,0.75,5.71,3.16,25.6,0,0,0,0.6,0.68,0.38,0,0
Rodrigo Bentancur,Tottenham,25,18,17,1500,0,5,0.12,0.9,0.54,15.8,0,0,52.6,44.1,685.4,3.23,0.54,0.24,0.66,0.06,0.8400000000000001,2.04,0.3,3.3600000000000003,1.2,0.9,0.96,3.11,17.6,1.14,10.5,0.48,0,0,1.44,0.48,0,0,0
Victor Bernth Kristiansen,Leicester City,20,2,2,170,0,0,0,0.53,0,10.7,0,0,50.5,33.2,521.1,1.58,0.53,0,1.05,1.58,1.58,3.16,1.05,1.06,0,0.53,2.11,3.16,22.6,1.05,15.3,0,0,0,0,0.53,0,0,0
Owen Bevan,Bournemouth,19,1,0,9,0,0,0,0,0,0,0,0,30,20,380,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0
Giulian Biancone,Nott'ham Forest,22,2,0,17,0,0,0,0,0,0,0,0,105,75,1265,0,0,0,0,0,0,5,0,0,5,10,0,10,95,0,5,0,0,0,0,0,0,0,0
Philip Billing,Bournemouth,26,21,19,1555,0,4,0.06,1.16,0.58,19.6,0.17,0,31.2,23.3,343.2,1.39,0.29,0.12,0.75,0.12,0.81,1.68,0.23,3.24,1.04,1.85,1.16,2.31,10.6,2.25,13.7,0.12,0,0,1.04,1.27,0.17,0,0
Yves Bissouma,Tottenham,26,20,8,814,0,0,0,0.56,0,26.2,0,0,63.4,57.1,871.4,4.44,0.44,0.11,0.89,0,1,2.78,0.11,2.67,1,0.67,0.67,1.89,14.1,0.11,11.3,0.56,0,0,1.56,0.78,0.11,0,0
Willy Boly,Nott'ham Forest,32,8,8,592,0,0,0.15,0.15,0,22.1,0,0,36.4,27.4,521.8,1.06,0,0,0.15,0,0.15,0.76,0.15,3.34,1.82,2.12,1.06,9.09,33.5,1.21,2.12,0.3,0,0,0.61,0.76,0.45,0,0
Sven Botman,Newcastle Utd,23,20,19,1687,0,0,0,0.59,0.21,12.4,0,0,51.5,44.2,912.8,2.09,0.05,0,0.37,0,0.37,0.75,0.05,2.8899999999999997,0.96,1.98,1.02,10.1,35.3,1.82,2.83,0.05,0,0,0.48,0.37,0.05,0,0
Jarrod Bowen,West Ham,26,22,22,1970,0,4,0.05,2.01,0.46,16,0.05,0.05,25.1,16.2,264.5,1.32,0.78,0.32,1.46,2.37,1.6,2.97,0.32,2.38,0.78,0.78,1.92,0.59,4.84,4.25,19.3,0.05,0,0,0.64,1.87,0.32,0.14,0
James Bree,Southampton,25,2,2,169,0,0,0,0,0,0,0,0,48.4,34.7,480.5,1.05,2.11,1.58,2.11,0,2.11,2.63,0,2.1100000000000003,2.11,3.68,2.11,3.16,10.5,0.53,27.4,0,0,0,0,0,0,0,0
Armando Broja,Chelsea,21,12,2,294,0,1,0,1.82,1.52,11,0,0,16.1,10,141.2,0.3,0.3,0,0.3,0,0.3,1.21,0.61,6.06,0.3,2.73,6.36,0.61,2.12,4.85,19.1,0,0,0,0.61,1.82,0.91,0.3,0
Lewis Brunt,Leicester City,22,1,0,23,0,0,0,0,0,0,0,0,70,56.7,943.3,0,0,0,0,0,0,0,0,0,0,0,0,3.33,26.7,0,10,0,0,0,0,3.33,0,0,0
Bryan,Tottenham,22,4,2,148,0,0,0.63,1.25,0.63,19.4,0,0,37.5,29.4,398.8,1.88,1.25,0,1.25,0,1.25,3.13,1.88,3.76,0.63,0,1.25,0.63,8.13,1.25,23.1,0.63,0,0,1.25,1.25,0.63,0,0
Emi Buendía,Aston Villa,26,21,13,1220,0,3,0,2.21,0.44,17,0.07,0,42.2,33.1,530.5,4.04,1.62,0,1.54,0.37,1.83,3.38,0.37,1.48,0.74,1.03,1.91,1.1,8.01,3.46,21.4,0,0,0,1.62,1.54,0.07,0,0
Hugo Bueno,Wolves,20,12,10,866,0,0,0.1,0.42,0.1,18.5,0,0,45.1,36.4,484.9,1.46,0.83,0.52,1.04,0.83,1.04,2.08,0.1,2.29,0.83,0.42,1.04,3.96,24.4,1.15,17.2,0.1,0,0,0.1,0.63,0,0,0
Facundo Buonanotte,Brighton,18,1,0,16,0,0,0,0,0,0,0,0,40,35,445,0,0,0,5,0,5,5,0,0,0,0,0,0,5,0,30,0,0,0,5,0,0,0,0
Dan Burn,Newcastle Utd,30,22,21,1854,0,0,0,0.53,0.15,12,0,0,50.3,39.9,668.3,2.72,0.34,0.05,0.39,0,0.39,0.97,0.05,2.34,0.92,2.57,1.21,5.29,24.7,1.75,10,0.1,0,0,0.92,0.05,0.19,0,0.05
Cafú,Nott'ham Forest,29,1,0,7,0,0,0,0,0,0,0,0,20,20,450,10,0,0,0,0,0,0,0,0,0,0,0,10,20,0,0,0,0,0,0,0,0,0,0
Moisés Caicedo,Brighton,21,20,19,1729,0,1,0.05,0.73,0.26,23.7,0,0,61.4,54.1,850,4.69,1.3,0.21,1.2,0,1.56,2.24,0.16,1.87,1.61,1.2,0.68,2.76,16.1,0.83,15.8,0.31,0,0,2.03,1.3,0,0,0
Tom Cairney,Fulham,32,22,1,471,0,0,0,2.12,0,20.3,0,0,76.9,65.8,1083.5,7.12,2.12,0.77,1.92,1.15,2.3,5,0.19,3.08,0.38,0.77,0.77,0.38,13.7,3.46,35.4,0.19,0,0,0.58,1.54,0,0,0
Duje ?aleta-Car,Southampton,26,10,7,716,0,0,0,0.38,0.13,10.6,0,0,51.8,43.9,869.6,2.5,0,0,0.13,0,0.13,0.5,0,2.5,1.63,1.25,1.38,11.6,37.6,0.88,1.5,0.13,0,0,0.88,0.13,0,0,0
Dominic Calvert-Lewin,Everton,25,11,9,731,0,1,0,1.98,0.49,10.7,0,0,17.2,10.6,124.6,0.99,0.12,0,0.49,0,0.49,1.6,0.25,0.5,0.12,4.32,5.06,0.74,2.1,4.44,14.2,0.12,0,0,1.48,0.99,1.73,0,0
Chem Campbell,Wolves,20,5,0,74,0,0,0,2.5,0,11.3,0,0,40,28.8,430,2.5,0,0,0,1.25,0,2.5,0,5,1.25,2.5,1.25,1.25,7.5,6.25,28.8,0,0,0,0,1.25,0,0,0
João Cancelo,Manchester City,28,17,16,1274,0,2,0.07,1.2,0.21,22.7,0,0,85.9,73,1174.2,5.63,2.54,0.63,0.85,0,0.99,2.75,0.42,0.98,1.34,1.9,0.77,1.41,15.8,3.31,32.5,0.21,0,0.07,0.92,1.27,0.28,0,0.14
Thomas Cannon,Everton,20,2,0,25,0,0,0,3.33,3.33,10.8,0,0,16.7,13.3,123.3,0,0,0,3.33,0,3.33,0,0,0,0,0,6.67,0,0,13.3,20,0,0,0,0,6.67,0,0,0
Sergi Canós,Brentford,26,5,0,77,0,0,0,1.11,0,16.1,0,0,47.8,25.6,297.8,2.22,1.11,0,1.11,0,1.11,3.33,0,6.66,0,0,1.11,1.11,14.4,2.22,22.2,0,0,0,3.33,3.33,0,0,0
Diego Carlos,Aston Villa,29,2,2,179,0,0,0,2,0,15.7,0,0,64,50.5,1043.5,4,0,0,0,0,0,1,0,2,0.5,1.5,1.5,4,24.5,2,4.5,0,0,0,0.5,0,0,0,0
Fabio Carvalho,Liverpool,20,11,4,337,0,2,0,2.97,1.08,11.5,0,0,36.5,30,402.7,1.62,0.54,0,0.27,0,0.27,2.43,0.54,3.24,1.35,1.08,2.43,0.54,8.38,7.03,23.2,0,0,0,1.35,1.62,0,0,0
Casemiro,Manchester Utd,30,17,13,1230,0,2,0.22,1.24,0.36,22.5,0,0,62.4,48.5,857.3,5.62,1.02,0.22,1.17,0,1.6099999999999999,3.14,0.44,4.09,1.61,2.34,1.09,4.6,23.1,1.02,13.2,0.36,0,0.07,2.26,1.39,0,0,0
Matty Cash,Aston Villa,25,17,13,1185,0,0,0,0.53,0.08,26.9,0,0,51.4,39.2,685.9,3.48,1.06,0.61,0.53,0,0.68,1.82,0.08,2.12,1.52,0.76,0.53,3.03,17,0.68,16.4,0.23,0,0,0.98,0.61,0.15,0,0.08
Timothy Castagne,Leicester City,27,21,20,1821,0,1,0.1,0.54,0.15,8.8,0,0,54.9,43.9,625.7,2.67,0.74,0.4,0.59,0,0.69,1.39,0.15,2.7800000000000002,0.94,1.44,1.78,3.71,22.7,1.63,15.7,0.1,0,0,0.79,0.35,0.2,0,0
Jonny Castro,Wolves,28,15,11,1020,0,0,0,0.71,0.09,22.1,0,0,63.8,53.9,860.4,4.6,0.71,0.18,0.27,0,0.36,1.5,0,3.54,1.15,1.06,1.15,3.81,26.5,1.06,17.5,0.27,0,0,0.8,1.42,0.09,0,0
Julio César Enciso,Brighton,19,5,0,131,0,0,0,5.33,4,24.4,0,0,19.3,12.7,140,1.33,0.67,0,0.67,0,0.67,3.33,0.67,1.34,0,0.67,0.67,0,0.67,5.33,20.7,0.67,0,0,2.67,0.67,0,0,0
Nathaniel Chalobah,Fulham,28,4,1,12,0,0,0,10,10,10.1,0,0,50,40,670,10,0,0,0,0,0,0,0,0,0,10,20,40,50,10,30,0,0,10,20,0,0,0,0
Trevoh Chalobah,Chelsea,23,12,11,971,0.09,0,0,0.46,0.09,11.1,0,0,59.3,52.6,967.7,2.41,0.09,0,0.09,0,0.09,0.46,0.09,1.48,1.2,1.76,1.39,7.04,35.1,0.83,4.44,0.28,0,0,0.65,0.46,0,0,0
Calum Chambers,Aston Villa,28,4,1,110,0,0,0,0.83,0,29.2,0,0,69.2,57.5,1049.2,2.5,0,0,0,0,0,0.83,0,5,2.5,1.67,1.67,9.17,43.3,0,5.83,0.83,0,0,4.17,0,0,0,0
Ben Chilwell,Chelsea,26,11,4,450,0,1,0.2,0.6,0.2,15.3,0,0,66.8,52.2,743.4,2,0.6,0.4,0.6,1.8,0.8,1.8,0.6,1.6,1.2,3.2,1,1.4,19.4,1.4,26,0.2,0,0,1.2,1.4,0,0.2,0
Ryan Christie,Bournemouth,27,19,12,1036,0,1,0,1.48,0.43,14.1,0,0,30.7,24.8,390.6,2.26,1.04,0.09,1.22,0.87,1.48,2.87,0.09,2.4299999999999997,1.57,0.52,1.22,1.83,9.39,2.61,14.9,0.09,0,0,1.74,2.26,0,0,0
Carney Chukwuemeka,Chelsea,19,8,1,202,0,0,0,1.82,0.45,16.4,0,0,42.3,34.5,429.5,2.73,1.82,0.91,1.36,0,1.36,3.18,0,3.64,1.82,0.45,1.36,1.82,13.2,5,25.9,0,0,0,0.45,0.91,0,0,0
Bobby Clark,Liverpool,18,1,0,8,0,0,0,0,0,0,0,0,10,10,290,0,10,0,0,0,0,0,0,40,0,0,0,0,0,10,70,0,0,0,10,0,0,0,0
Nathaniel Clyne,Crystal Palace,31,16,14,1206,0,0,0,0,0,0,0,0,48.7,37.9,585.1,3.13,0.22,0.15,0.37,0,0.37,1.12,0,2.68,1.12,0.45,0.75,2.84,18.2,0.22,11.5,0.15,0,0,0.45,0.45,0,0,0
Conor Coady,Everton,29,19,19,1700,0,1,0.05,0.16,0.11,9.9,0,0,52.9,44.7,950.4,3.28,0.16,0.05,0.21,0,0.26,0.79,0.05,1.9,0.63,1.11,1.11,10.7,35.5,0.48,1.32,0.05,0,0,0.42,0.58,0.11,0,0
Jack Colback,Nott'ham Forest,33,8,1,281,0,0,0,0,0,0,0,0,23.2,19,346.5,2.58,0.32,0.32,0.65,0,0.65,0.65,0,0.64,0.65,0.65,1.29,3.23,13.5,0,3.23,0,0,0,1.29,1.94,0,0,0
Séamus Coleman,Everton,34,13,10,857,0,0,0,0.32,0,17.8,0,0,42.5,34.5,564.4,1.37,0.95,0.53,0.21,0,0.21,0.95,0.11,2.32,1.26,0.74,0.63,4.63,20.1,0.84,12.8,0,0,0,0.42,0.95,0,0,0
Nathan Collins,Wolves,21,17,17,1472,0,0,0,0.06,0,13.1,0,0,55.7,49.5,1014.3,3.54,0.12,0,0.12,0,0.12,0.49,0,2.8,1.22,1.52,1.4,10.2,39.1,0.55,1.95,0.12,0,0.06,0.79,0.43,0.06,0,0
Levi Colwill,Brighton,19,7,5,463,0,0,0,0.2,0,8.1,0,0,83.1,74.3,1326.7,4.51,0.59,0,0.39,0,0.5900000000000001,0.98,0.2,0.79,1.18,2.94,0.98,9.61,47.1,0.2,2.94,0,0,0,0.2,0.59,0,0,0
Lewis Cook,Bournemouth,26,19,17,1486,0,0,0.12,0.3,0,28,0.06,0,39.2,30.8,518.1,2.97,0.67,0.48,1.27,0.61,1.33,1.94,0.24,2.91,1.03,0.42,0.48,3.27,14.5,0.48,9.52,0.12,0,0,0.73,0.48,0,0,0
Steve Cook,Nott'ham Forest,31,12,11,957,0,0,0,0.28,0,14.2,0,0,43.3,34.8,743.8,1.7,0.19,0.09,0.28,0,0.28,0.57,0,3.0199999999999996,1.13,2.55,0.94,9.43,30.3,0.94,1.79,0.38,0,0,0.47,0.19,0,0,0.09
Liam Cooper,Leeds United,31,13,12,1106,0,1,0,0.73,0.16,8.9,0,0,49.5,39,714.6,2.36,0,0,0.33,0,0.33,0.98,0.24,1.3,2.03,3.74,2.2,6.5,31.5,1.46,2.36,0.16,0,0,0.73,0.65,0,0,0
Maxwel Cornet,West Ham,26,5,1,91,0,0,0,4,1,9.8,0,0,30,20,266,0,0,0,0,0,0,1,0,0,0,2,3,0,6,4,27,0,0,0,2,2,0,0,0
Diego Costa,Wolves,34,10,8,644,0,0,0,2.92,0.97,11.7,0,0,12.8,9.31,106.7,0.42,0.14,0,0.69,0,0.69,1.53,0,1.3900000000000001,0.28,2.22,3.33,1.11,2.5,5.14,11.1,0.28,0,0.14,2.36,0.56,1.67,0,0
Vladimír Coufal,West Ham,30,16,14,1291,0,0,0,0.35,0,24.3,0,0,50.1,31.7,549,2.87,1.05,0.63,0.98,0,0.98,2.31,0.14,2.52,1.68,1.4,1.05,3.85,17.3,0.77,19.9,0.28,0,0,1.12,0.77,0,0,0
Philippe Coutinho,Aston Villa,30,18,6,712,0,0,0,2.41,0.76,21.5,0.25,0,45.7,34.2,480.9,3.54,0.89,0.25,0.89,0.76,1.27,2.91,0,1.78,0.38,0.38,1.52,0.25,3.29,2.78,25.8,0.38,0,0,1.77,1.52,0.25,0,0
Conor Coventry,West Ham,22,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Cresswell,West Ham,33,18,17,1533,0,0,0,0.41,0.06,22.8,0.18,0,63.9,50.8,819.1,4.41,1.41,0.76,1.76,2.18,1.82,3.12,0,2,1.18,1.41,1.18,3.71,21.8,0.47,18.9,0.12,0,0,0.47,0.29,0.06,0,0
Marc Cucurella,Chelsea,24,20,17,1345,0,0,0.13,0.4,0,17.7,0,0,71.8,59.9,913.4,3.83,0.6,0.4,0.54,0.87,0.54,1.54,0.2,3.08,0.74,0.81,0.74,3.56,25.6,0.67,21.1,0.13,0,0,0.81,1.01,0.07,0,0
Matheus Cunha,Wolves,23,5,3,250,0,0,0,2.14,0.71,17.2,0,0,21.8,15.7,200.4,0,0.36,0,0.71,0,0.71,2.86,0,4.29,0.71,0.71,5,1.07,9.29,2.86,12.1,0,0,0,2.86,1.79,0.71,0,0
Patson Daka,Leicester City,24,17,9,706,0,3,0.38,2.44,1.41,14.9,0,0,20.1,13.3,164.7,0.64,0.64,0.13,1.28,0,1.79,2.18,0.64,1.8000000000000003,0.38,1.41,2.31,1.41,2.95,4.62,16.7,0.26,0,0,1.41,0.77,0.64,0.13,0
Diogo Dalot,Manchester Utd,23,15,14,1268,0,0,0.14,0.99,0.28,19.7,0,0,58.6,45.3,813.8,3.83,1.49,0.85,1.56,0,1.7000000000000002,2.48,0.14,2.56,1.63,1.7,0.78,5.04,23.9,1.91,17.5,0.35,0,0,1.06,0.21,0,0,0
Mikkel Damsgaard,Brentford,22,11,1,285,0,0,0,1.25,0.94,17.3,0,0,40,28.4,389.7,4.06,1.88,0,1.56,0.31,1.87,3.75,0.31,2.5,0.63,0.31,2.19,0.31,8.13,2.81,20,0.63,0,0,1.56,1.25,0,0,0
Danilo,Nott'ham Forest,21,2,1,91,0,0,0,1,0,31.9,0,0,38,27,524,4,0,0,1,0,1,2,0,4,0,2,2,3,19,0,8,1,0,0,2,1,0,0,0
Arnaut Danjuma,Tottenham,26,1,0,12,0,0,0,0,0,0,0,0,110,60,990,0,10,10,10,0,10,10,0,0,0,0,0,0,10,0,50,0,0,0,0,0,0,0,0
Josh Dasilva,Brentford,24,22,11,999,0,3,0.18,1.17,0.45,21.3,0,0,38.2,30.4,515.4,2.34,1.44,0.36,0.81,0.36,0.9,2.88,0.45,2.7,0.27,0.54,0.45,0.81,9.01,1.98,17.5,0.09,0,0,0.81,1.26,0,0,0
Ben Davies,Tottenham,29,20,16,1441,0,2,0.06,0.63,0.25,16.1,0,0,56.5,47.7,797.9,3.75,0.19,0.13,0.81,0,0.81,1.44,0.25,1.63,0.81,2.25,2,4.19,23.4,0.88,7.5,0.13,0,0,1.19,0.5,0,0,0
Tom Davies,Everton,24,10,4,413,0,0,0,1.3,0.22,19.5,0,0,39.8,30.2,523.9,4.13,0.22,0,0.22,0,0.87,0.87,0,3.04,0.65,1.52,2.61,2.17,12.6,2.17,7.83,0.43,0,0,0.65,1.09,0.22,0,0
Craig Dawson,West Ham,32,8,8,720,0,0,0,0.75,0.13,15.1,0,0,38.8,30.6,675.5,3.13,0,0,0.13,0,0.13,1.5,0.13,2.26,0.75,1.75,0.88,6.63,26.4,1.75,3.5,0.25,0,0,0.75,0.38,0,0.13,0.13
Craig Dawson,Wolves,32,2,2,180,0,1,0,1,0.5,9.5,0,0,54.5,48,948,2.5,0,0,0.5,0,0.5,1.5,0,4,0,3,3.5,15.5,44.5,1,1,0.5,0,0,0.5,1,0,0,0
Kevin De Bruyne,Manchester City,31,20,18,1599,0,3,0.62,2.64,0.9,23.6,0.28,0,59.4,42.8,809.7,4.44,3.71,0.79,3.6,2.58,4.720000000000001,6.52,1.12,2.02,0.22,0.45,0.56,0.51,4.04,3.93,39.7,0.06,0,0,0.9,0.9,0.17,0.06,0
Siriki Dembélé,Bournemouth,26,6,0,110,0,0,0,1.67,1.67,16.6,0,0,39.2,30.8,452.5,1.67,2.5,1.67,3.33,0,3.33,4.17,0,1.66,0.83,0,3.33,0.83,8.33,2.5,27.5,0,0,0,0.83,1.67,0,0,0
Leander Dendoncker,Aston Villa,27,12,3,341,0,0,0,0.26,0,23.2,0,0,38.9,33.9,526.1,2.37,0,0,1.32,0,1.32,1.84,0,5.27,1.58,1.32,1.58,2.89,14.2,1.05,7.63,0,0,0,0.26,0,0,0,0
Leander Dendoncker,Wolves,27,4,2,214,0,0,0,1.25,0.83,16.7,0,0,41.3,35.8,610.8,1.67,0.42,0.42,0.83,0,0.83,1.67,0,1.66,3.75,0.83,2.08,2.5,13.8,2.08,8.75,0,0,0,0,0,0,0,0
Emmanuel Dennis,Nott'ham Forest,25,11,3,408,0,1,0.22,2.44,0.44,14.1,0.44,0,24.7,17.1,262.9,0.89,0.44,0.22,0.89,0,0.89,3.11,0.44,2.22,0,1.33,2,0,4.89,4.89,22.9,0.44,0,0,1.33,3.78,0.89,0,0
Halil Derviþoðlu,Brentford,23,1,0,8,0,0,0,10,0,31.9,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
Kiernan Dewsbury-Hall,Leicester City,24,20,19,1538,0,2,0.12,0.88,0.23,20.9,0,0,46.8,35.2,578.1,4.62,0.99,0.18,1.75,0.41,2.16,3.27,0.47,3.75,0.99,0.58,0.47,1.35,9.53,1.99,18,0.12,0,0,1.17,1.05,0,0,0
Ibrahima Diallo,Southampton,23,13,10,714,0,0,0,0.76,0,28.4,0,0,41,31.5,475.3,2.28,0.25,0,0.25,0,0.25,0.63,0,2.0300000000000002,0.63,1.9,0.89,1.65,13.5,0.38,8.1,0.25,0,0,2.03,0.89,0,0,0
Rúben Dias,Manchester City,25,13,9,874,0,0,0,0.52,0.1,10,0,0,92.8,85.6,1544.5,5.26,0,0,0.21,0,0.21,0.62,0,1.8599999999999999,1.24,2.68,1.34,7.22,37.6,1.44,5.67,0,0,0,1.03,0.31,0,0,0
Luis Díaz,Liverpool,26,8,7,613,0,3,0.29,2.35,1.03,13.3,0,0,37.6,29.9,448.7,2.65,0.74,0.15,0.88,0,0.88,2.94,0.59,1.76,0.29,0.88,2.06,0.44,3.38,6.62,25.3,0.29,0,0,1.76,2.35,0.29,0,0
Eric Dier,Tottenham,29,22,21,1915,0,2,0,0.66,0.19,12.7,0.09,0,66.6,57.4,1117.3,2.58,0.28,0.14,0.28,0,0.28,0.99,0.05,2.26,1.22,2.54,1.46,11.5,43.8,0.89,2.77,0.09,0,0,0.56,0.28,0.05,0,0
Lucas Digne,Aston Villa,29,15,14,1111,0.08,1,0,0.49,0.24,19.5,0.16,0,57.3,43.5,687.8,2.2,1.46,0.81,1.06,0.57,1.06,1.63,0,1.79,1.06,1.46,1.06,4.07,22.4,1.63,20.8,0.16,0,0,0.98,1.54,0.16,0,0.08
Issa Diop,Fulham,26,15,12,1146,0,1,0,0.24,0.16,12.3,0,0,63.3,53.7,1106.9,3.46,0.16,0,0.08,0,0.08,0.39,0,2.36,1.42,1.81,1.26,7.24,32.1,0.63,1.5,0.08,0,0,0.55,0.24,0.08,0,0
Moussa Djenepo,Southampton,24,12,6,578,0,0,0.16,0.47,0.31,13.8,0,0,33.3,24.5,363,1.88,0.78,0.47,0.94,0,0.94,2.03,0.31,3.75,1.72,0.47,1.25,2.03,12.7,1.72,13.6,0,0,0,0.94,2.34,0,0,0
Ben Doak,Liverpool,17,2,0,26,0,0,0,0,0,0,0,0,46.7,33.3,286.7,0,0,0,0,0,0,0,0,6.66,0,0,0,0,13.3,6.67,33.3,0,0,0,3.33,3.33,0,0,0
Matt Doherty,Tottenham,31,12,7,667,0,1,0,1.35,0.27,12.1,0,0,55.1,44.5,661.6,1.89,0.68,0.41,0.81,0,0.81,2.43,0.41,2.98,1.08,2.7,1.76,3.65,19.5,3.24,23.2,0,0,0,1.49,0.54,0,0,0
Gabriel Dos Santos,Arsenal,25,21,21,1890,0,2,0,0.9,0.29,14.5,0,0,62,55.3,1000.1,4.67,0.1,0,0.05,0,0.05,0.67,0,2.76,0.86,2.19,2.29,8.57,29.6,1.57,5.19,0.19,0,0,0.62,1.19,0,0,0.05
Abdoulaye Doucouré,Everton,30,11,3,318,0,0,0,1.14,0.29,12.5,0,0,42.6,33.4,461.7,2.57,0,0,0.29,0,0.29,1.43,0,2.29,0.57,1.14,1.71,1.71,12,3.14,14.9,0.29,0,0,0.86,0.29,0.29,0,0.29
Cheick Doucouré,Crystal Palace,23,20,20,1647,0,0,0.11,1.26,0.27,25.9,0,0,42.2,35.1,590,3.99,0.27,0,0.98,0,1.09,2.08,0.16,2.84,2.08,0.71,0.82,3.11,15.6,0.33,8.09,0.38,0,0,1.37,0.38,0,0,0
Flynn Downes,West Ham,24,10,3,310,0,0,0,0.59,0,14.7,0,0,34.7,28.2,369.7,2.06,0.29,0,0.29,0,0.29,1.76,0,5.3,0.88,1.18,1.76,1.18,6.76,0.59,8.82,0,0,0,1.18,1.76,0,0,0
Cody Drameh,Leeds United,21,1,1,69,0,0,0,0,0,0,0,0,47.5,37.5,571.3,2.5,0,0,0,0,0,1.25,0,0,1.25,1.25,0,1.25,8.75,0,13.8,0,0,0,1.25,0,0,0,0
Shane Duffy,Fulham,31,4,0,6,0,0,0,0,0,0,0,0,40,20,200,0,0,0,0,0,0,0,0,0,0,20,10,0,20,0,0,0,0,0,0,10,0,0,0
