player_name,team,age,matches_played,matches_started,minutes_played,own_goals,goals,assists,shots,shots_on_target,shot_distance,free_kicks,penalty_kicks,pass_attempted,pass_completed,pass_distance,pass_final_third,pass_18_yard,crosses_18_yard,pass_before_shot,corner_kicks,chance_created,shot_creation_actions,goal_creation_actions,blocks,interceptions,aerial_battles_won,aerial_battles_lost,touches_defensive_pen,touches_defensive_third,touches_attacking_pen,touches_attacking_third,yellow_card,yellow_card_2nd,red_card,fouls_commited,fouls_drawn,offsides,penalty_won,penalty_conceded
Daniel James,Fulham,25,12,3,360,0,1,0,2.5,0.5,13.5,0,0,29.3,19,256.5,0.5,1.5,0.25,1,0,1,2,0,1,0.25,0.25,1.25,1.75,4.5,3.5,23.5,0,0,0,0.25,2.5,0.25,0.25,0
Reece James,Chelsea,23,10,9,760,0,1,0.12,1.19,0.48,21.2,0.24,0,78.2,67.1,1067.7,3.93,1.43,0.24,1.31,1.55,1.31,2.98,0.24,1.9,0.95,1.55,1.07,2.02,17.1,1.79,31.7,0.36,0,0,0.83,1.07,0.36,0,0
Vitaly Janelt,Brentford,24,22,15,1419,0,2,0.06,0.51,0.25,12.1,0,0,40.3,31.8,543.4,2.85,0.63,0.25,0.57,0.06,0.76,2.09,0.19,2.28,1.08,1.33,1.01,2.91,14.4,1.58,9.62,0.06,0,0,0.89,0.95,0,0,0
Pontus Jansson,Brentford,31,7,6,515,0,0,0,0.18,0,15.4,0,0,42.3,34.4,669.3,1.58,0,0,0,0,0.18,0.18,0,2.8000000000000003,1.4,2.98,1.58,8.25,30.5,0.7,0.7,0,0,0,0.18,0.18,0.18,0,0
Mathias Jensen,Brentford,27,22,22,1675,0,3,0.22,0.75,0.22,23.5,0.11,0,49.4,33.7,664.2,3.71,0.91,0.32,1.34,2.96,1.4500000000000002,3.17,0.48,3.54,1.18,0.38,0.7,1.29,12.6,1.08,20.9,0.16,0,0,1.13,0.65,0.05,0,0
Gabriel Jesus,Arsenal,25,14,14,1219,0,5,0.37,3.7,1.48,10.9,0,0,29.8,24.1,356.1,1.7,0.89,0.07,1.63,0,1.7,4.22,0.52,2.2199999999999998,0.59,1.78,3.41,1.19,3.93,9.11,25.6,0.3,0,0,1.78,2.81,0.59,0.07,0
Raúl Jiménez,Wolves,31,7,3,325,0,0,0,3.33,1.11,15,0,0,17.5,12.2,148.3,0.83,0.56,0,0.83,0,0.83,1.67,0,3.88,0,3.33,2.5,1.67,2.5,5.56,15,0,0,0,1.11,1.94,1.67,0,0
Joelinton,Newcastle Utd,26,20,19,1690,0,2,0.05,1.65,0.59,14.3,0,0,42.5,34.8,512.1,2.66,0.85,0.16,1.01,0.21,1.12,2.82,0.27,3.8200000000000003,1.44,2.02,2.23,2.55,10.5,3.56,20.9,0.48,0,0,1.97,1.06,0.05,0.05,0
Ben Johnson,West Ham,23,10,6,554,0,0,0,0,0,0,0,0,54.8,40,752.6,3.06,0.81,0.48,0.48,0,0.48,1.29,0,2.9,0.97,1.61,0.97,5.48,27.9,0.16,9.35,0,0,0,0.32,0.32,0,0,0
Brennan Johnson,Nott'ham Forest,21,22,20,1796,0,5,0.1,1.6,0.8,17.1,0,0.05,15.9,8.7,122,0.45,0.6,0.15,0.9,0.05,0.9,1.75,0.3,2.1,0.1,0.65,1.75,0.15,2.35,3.4,14.3,0.2,0,0,1.15,0.55,0.5,0,0
Curtis Jones,Liverpool,22,6,1,189,0,0,0,1.9,0.48,17.1,0,0,65.7,56.2,848.1,4.29,1.43,0,0.95,0,1.43,4.29,0,0.96,0.48,0,0,1.43,12.4,4.76,30,0.48,0,0,1.43,2.38,0,0,0
Jorginho,Arsenal,31,1,0,32,0,0,0,2.5,0,18.9,0,0,75,60,847.5,2.5,0,0,0,0,0,0,0,0,0,2.5,2.5,0,20,5,17.5,0,0,0,0,2.5,0,0,0
